region,mapped_ift_class,squares,bulk_up_forecast,z3,forecast_area,reference_area,parcel_area_tot,r,group1,group2,group3,group,ownership,country
WS,WOODLANDEDGE,460,113558.5954,3087363.834,132181.28,116976.6139,121.29063184,0.8591125415,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
NES,BROADLEAF,206,3646.8179361,295705.37416,33366.73,45639.45137,97.396540343,0.1092950354,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
NES,CONIFER,531,2472.0861921,107761.63935,95222.02,126037.1584,359.73412042,0.025961287,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
NES,TRANSITION,217,2136.9886495,58352.582589,31008.12,33464.03578,104.08260593,0.0689170659,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
NES,UNCERTAIN,70,9747.1807893,1105091.0359,18812.03,25969.47552,29.236561107,0.5181355117,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
NES,WOODLANDEDGE,429,110686.86016,614271.16244,122307.1,10217.30585,152.90667695,0.9049912897,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
ES,BROADLEAF,174,2287.4332681,111393.0126,30585.95,39084.17821,90.255134547,0.0747870597,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
ES,CONIFER,272,1206.1227503,69663.564986,46438.01,61283.95778,177.72229297,0.0259727484,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
ES,TRANSITION,135,1926.6712867,79213.45395,21987.42,20350.35385,74.142608669,0.0876260738,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
ES,UNCERTAIN,35,6540.7057614,284700.38834,10541.7,14739.07758,14.57193531,0.6204602447,Group1:                .,Group2:               .,No group3,"Group1:                .                               , Group2:               .                                                              , No group3",PS,Scotland
